"","species","s.grazed_post","s.grazed_pre","s.ungrazed_post","s.ungrazed_pre","spname","status","func"
"1","ACH MIL",0,0,0,1,"Achillea millefolium","native","forb"
"2","AGO HET",1,0,0,0,"Agoseris heterophylla","native","forb"
"3","ALL SER",0,0,1,1,"Allium serra","native","forb"
"4","AVEN SP",0,0,1,1,"Avena sp.","non-native","grass"
"5","BRO BER",1,1,0,0,"Bromus berteroanus","non-native","grass"
"6","BRO DIA",1,0,0,0,"Bromus diandrus","non-native","grass"
"7","BRO HOR",0,1,1,1,"Bromus hordeaceus","non-native","grass"
"8","CAS DEN",0,0,1,0,"Castilleja densiflora","native","forb"
"9","CHL POM",1,0,0,0,"Chlorogalum pomeridianum","native","forb"
"10","CLA GYP",1,1,0,0,"Claytonia gypsophiloides","native","forb"
"11","CRA CON",0,0,0,1,"Crassula connata","native","forb"
"12","CRY FLA",1,1,0,0,"Cryptantha flaccida","native","forb"
"13","DELP SP",0,1,0,0,"Delphinium sp.","native","forb"
"14","DIC CAP",0,0,0,1,"Dichelostemma capitatum","native","forb"
"15","ELY MUL",0,0,1,1,"Elymus multisetus","native","grass"
"16","EPI MIN",0,1,0,0,"Epilobium minitum","native","forb"
"17","EPIL SP",0,1,1,1,"Epilobium sp.","native","forb"
"18","ERI NUD",0,0,1,1,"Eriogonum nudum","native","forb"
"19","ESC CAL",0,0,1,1,"Eschscholzia californica","native","forb"
"20","EUP SPA",0,0,1,0,"Euphorbia spathulata","native","forb"
"21","FES MIC",1,1,0,0,"Festuca microstachys","native","grass"
"22","GAL APA",1,1,0,0,"Galium aparine","native","forb"
"23","GAL POR",1,1,0,0,"Galium porrigens","native","forb"
"24","KOE MAC",0,0,1,1,"Koeleria macrantha","native","grass"
"25","LAS CAL",1,1,0,0,"Lasthenia californica","native","forb"
"26","LEP NIT",0,0,1,1,"Lepidium nitidum","native","forb"
"27","LES MIC GLA",0,0,1,0,"Lessingia micradenia glabrata","native","forb"
"28","MIC CAL",0,0,1,1,"Micropus californicus","native","forb"
"29","PRI HEN",1,1,1,0,"Primula hendersonii","native","forb"
"30","RAN CAL",0,1,0,0,"Ranunculus californica","native","forb"
"31","RIG LEP",1,1,0,0,"Rigiopappus leptoclodus","native","forb"
"32","SIS BEL",0,0,1,0,"Sisyrinchium bellum","native","forb"
"33","STE NIT",0,1,0,0,"Stellaria nitens","native","forb"
"34","STI PUL",0,1,0,0,"Stipa pulchra","native","grass"
"35","TRI ALB",0,0,1,0,"Trifolium albopurpureum","native","forb"
"36","TRI MIC",1,1,0,0,"Trifolium microdon","native","forb"
